Teff   ; [Fe/H] ; [C/Fe] ; log(g) ; index  
8000.0 ;  -3.5  ;  1.5   ;  4.5   ; 68930 
8000.0 ;  -3.5  ;  2.5   ;  3.5   ; 67356 
8000.0 ;  -3.5  ;  4.0   ;  4.0   ; 35952 
8000.0 ;  -2.0  ;  -1.0  ;  0.5   ; 88279 
8000.0 ;  -2.0  ;  1.5   ;  3.0   ; 78278 
8000.0 ;  -2.0  ;  2.5   ;  5.0   ; 48476 
8000.0 ;  -2.0  ;  4.0   ;  1.5   ; 31002 
8000.0 ;  -1.0  ;  -1.0  ;  0.0   ; 67239 
8000.0 ;  -1.0  ;  1.5   ;  1.5   ; 82862 
8000.0 ;  -1.0  ;  2.5   ;  1.0   ; 76756 
8000.0 ;  -1.0  ;  4.0   ;  1.5   ; 79802 
8000.0 ;  0.0   ;  -1.0  ;  3.0   ; 30374 
8000.0 ;  0.0   ;  1.5   ;  5.0   ; 35019 
8000.0 ;  0.0   ;  2.5   ;  3.0   ; 15860 
8000.0 ;  0.0   ;  4.0   ;  4.5   ; 22336 
8000.0 ;  1.0   ;  -1.0  ;  0.0   ; 83340 
8000.0 ;  1.0   ;  1.5   ;  1.5   ; 58192 
8000.0 ;  1.0   ;  2.5   ;  2.0   ; 64601 
8000.0 ;  1.0   ;  4.0   ;  1.5   ; 54955 

